,α_v,α_θ,α_a,β
0,0.0,0.47738835192346635,0.028730529619709948,3.2539738084506387
1,0.0,0.5314886337523859,0.0347487753567752,2.9451157600494264
2,0.0,0.003125287007116346,0.03877821718759192,18.495754453804143
3,0.0,0.3522233101732328,0.028090354817568216,4.007037027553449
4,0.0,0.5031112922483945,0.030616666711719868,2.926570736513837
5,0.0,0.95,0.0,2.233789034344449
6,0.0,0.36921543787890587,0.013346304265176155,3.591761405896491
7,0.0,0.95,0.0,2.2287399093976847
8,0.0,3.0435934236287495e-05,0.012178481211630402,80.0
9,0.0,0.0004205148688376758,0.01382105850930237,22.563944565699277
10,0.0,0.13936488932786908,0.005667287249375174,4.204048477711221
11,0.0,0.49756544509175116,0.008573936781082465,3.249224293264806
12,0.0,1.092912963195809e-05,0.02838401044780749,79.45907177412447
13,0.0,0.0006940067579060689,0.012108617159398087,20.95695184032338
14,0.0,0.4079403218218193,0.03608617355249648,3.4967548885679776
15,0.0,0.95,0.09469207490496927,0.8782916542654825
16,0.0,0.95,0.0011906145312508966,2.0028328593353955
17,0.0,6.303434954090281e-06,0.016499742024811286,79.99999999999972
18,0.0,0.02504384911712517,0.0,7.600134088931307
19,0.0,0.95,0.006878253028465597,2.716726912626714
20,0.0,0.8663212546505579,0.0,2.3964004647770785
21,0.0,8.032085053049136e-05,0.0,75.34349869976315
22,0.0,0.10080573307506213,0.01418836047430341,4.708218172638445
23,0.0,0.95,0.006020849583058604,1.7384512994332832
24,0.0,0.95,0.005488496720940321,2.6148372161184974
25,0.0,6.082830029437562e-05,0.035528297664253354,80.0
26,0.0,6.837529753166854e-05,0.010047149625133285,80.0
27,0.0,0.9441104978681065,0.18734896092384354,0.9053990612617266
28,0.0,3.8528677152000584e-05,0.04798177880167901,74.47342359112733
29,0.0,0.03441896663623311,0.020374429486166187,8.001187738710914
30,0.0,0.018299376488826773,0.0,10.562861681746496
31,0.0,5.6230683261125055e-05,0.0,80.0
32,0.0,0.07930735931852265,0.0,6.340873033383974
33,0.0,4.105539325156635e-05,0.022541983987043948,80.0
34,0.0,7.702478832518544e-05,0.014291600291677775,80.0
35,0.0,0.00016906210598613481,0.0,54.48267577469565
36,0.0,4.5201234532631824e-05,0.07377866901413292,79.61124876731455
37,0.0,4.687797132786767e-05,0.0,78.06896880006306
38,0.0,6.066209019871163e-05,0.021653208942139013,80.0
39,0.0,0.95,0.0,3.6196839661483615
40,0.0,0.6466041334950965,0.0,2.5609498510442594
41,0.0,0.0003242180420856717,0.03369203116941553,35.2093444890216
42,0.0,4.149104350905595e-06,0.058248838331008704,79.99989336474167
43,0.0,0.9418641677576997,0.016627591513017313,2.048840438073052
44,0.0,0.6911519853561677,0.008133224926256373,2.756975531358167
45,0.0,0.95,0.007971215017553095,2.31457628484782
46,0.0,0.95,0.009254999270621362,2.7304385484196874
47,0.0,0.7776486595083384,0.028189500922726415,3.151212864382078
48,0.0,2.2970455776747e-05,0.0339991890395192,79.96035263422512
49,0.0,0.3277434787011437,0.005246758091662452,5.339883045565321
50,0.0,1.67332611147374e-05,0.004865403586646674,79.99999999999979
51,0.0,3.8031821518590604e-05,0.010261192444737523,80.0
52,0.0,0.95,0.028656292072280532,3.227893403522571
53,0.0,0.95,0.015970262168427573,1.9323638640570038
54,0.0,5.85267980211147e-05,0.025109030027518575,80.0
55,0.0,0.07425926253097855,0.0,5.274532453175396
56,0.0,4.453148535709806e-05,0.003738375835829412,80.0
57,0.0,0.036774911938747226,0.02298649403995536,6.359772367698152
58,0.0,0.95,0.01910368628233934,1.7996986117815141
59,0.0,0.95,0.0,2.4636361873607138
60,0.16725882166061137,0.00014517735248171905,0.009375035175914289,79.28721096761763
61,0.0,0.00017170521682591911,0.0,49.22619871635017
62,0.0,4.667353366939158e-05,0.039106106513956566,80.0
63,0.0,0.6292490302651849,0.0,3.316957704413146
64,0.0,0.5477031459579316,0.0,3.569877703160989
65,0.0,0.00041668963813955013,0.0,45.182049739150706
66,0.0,0.03596755328058657,0.0,8.058782028722224
67,0.0,0.5544625403391316,0.010506346038493646,3.349293769313494
68,0.0,0.3780701992179501,0.0,4.009361361856216
69,0.0,0.95,0.006661437786098387,2.7490143276532533
70,0.0,0.0495356638654269,0.020977728133032846,6.490052244761261
71,0.0,0.14329929430066693,0.014403064511894933,4.206317933580806
72,0.0,0.8088550565138972,0.010430128991526035,2.390029514674334
73,0.0,4.11844212302763e-05,0.0,80.0
74,0.5884301749147817,0.73915069190544,3.869924862499036e-06,79.66275344502795
75,0.0,0.00034009360996994063,0.044951254607626286,42.853309406773135
76,0.0,0.7003925089190963,0.0005878625501060914,2.4905564004371685
77,0.0,0.20162639567336268,0.0007619212071588996,6.409235033487043
78,0.0,0.95,0.02284040656860354,2.0780430850565756
79,0.0,0.0005599533534724232,0.029279606861308705,29.3716426356472
80,0.0,0.03324606062301522,0.0,9.260820780642023
81,0.0,0.95,0.0164756807628088,2.278239364627494
82,0.0,0.2055807508332606,0.0,4.78537129181151
83,0.0,0.009003363149965063,0.03450539207827743,13.97694126631433
84,0.0,0.95,0.005371243610849069,2.3250485795820564
